3

v02 a00 v00
-83.0 0.0 0.0
-154.0 0.0 0.0
-323.0 0.0 0.0
-206.0 0.0 0.0
10.0 0.0 0.0
-331.0 0.0 0.0
-210.0 0.0 0.0
-104.0 0.0 0.0
15.0 0.0 0.0
-124.0 0.0 0.0
-413.0 0.0 0.0
-316.0 0.0 0.0
-136.0 0.0 0.0
-308.0 0.0 0.0
-22.0 0.0 0.0
-45.0 0.0 0.0
-150.0 0.0 0.0
-150.0 0.0 0.0
-525.0 0.0 0.0
-47.0 0.0 0.0
-282.0 0.0 0.0
-26.0 0.0 0.0
-9.0 0.0 0.0
41.0 0.0 0.0
-37.0 0.0 0.0
-121.0 0.0 0.0
-33.0 0.0 0.0
6.0 0.0 0.0
-359.0 0.0 0.0
-216.0 0.0 0.0
20.0 0.0 0.0
-51.0 0.0 0.0
-107.0 0.0 0.0
-48.0 0.0 0.0
31.0 0.0 0.0
47.0 0.0 0.0
-103.0 0.0 0.0
-37.0 0.0 0.0
-88.0 0.0 0.0
-273.0 0.0 0.0
-52.0 0.0 0.0
-577.0 0.0 0.0
-41.0 0.0 0.0
-510.0 0.0 0.0
-25.0 0.0 0.0
-14.0 0.0 0.0
-65.0 0.0 0.0
-167.0 0.0 0.0
-188.0 0.0 0.0
-184.0 0.0 0.0
-105.0 0.0 0.0
-262.0 0.0 0.0
-346.0 0.0 0.0
-241.0 0.0 0.0
34.0 0.0 0.0
-213.0 0.0 0.0
-183.0 0.0 0.0
-131.0 0.0 0.0
-136.0 0.0 0.0
-59.0 0.0 0.0
-98.0 0.0 0.0
-129.0 0.0 0.0
-128.0 0.0 0.0
-135.0 0.0 0.0
-110.0 0.0 0.0
-109.0 0.0 0.0
-128.0 0.0 0.0
-105.0 0.0 0.0
-149.0 0.0 0.0
-105.0 0.0 0.0
-81.0 0.0 0.0
-120.0 0.0 0.0
91.0 0.0 0.0
-150.0 0.0 0.0
-142.0 0.0 0.0
-67.0 0.0 0.0
-103.0 0.0 0.0
-101.0 0.0 0.0
-108.0 0.0 0.0
-107.0 0.0 0.0
-61.0 0.0 0.0
-90.0 0.0 0.0
-57.0 0.0 0.0
-190.0 0.0 0.0
-296.0 0.0 0.0
-53.0 0.0 0.0
-244.0 0.0 0.0
-121.0 0.0 0.0
-48.0 0.0 0.0
-17.0 0.0 0.0
-157.0 0.0 0.0
-262.0 0.0 0.0
-153.0 0.0 0.0
-138.0 0.0 0.0
-71.0 0.0 0.0
-71.0 0.0 0.0
-169.0 0.0 0.0
-3.0 0.0 0.0
-101.0 0.0 0.0
5.0 0.0 0.0
-81.0 0.0 0.0
-73.0 0.0 0.0
-317.0 0.0 0.0
-24.0 0.0 0.0
-45.0 0.0 0.0
-42.0 0.0 0.0
-96.0 0.0 0.0
-90.0 0.0 0.0
-157.0 0.0 0.0
-117.0 0.0 0.0
-85.0 0.0 0.0
-28.0 0.0 0.0
-119.0 0.0 0.0
-119.0 0.0 0.0
-214.0 0.0 0.0
-64.0 0.0 0.0
-52.0 0.0 0.0
-36.0 0.0 0.0
-35.0 0.0 0.0
102.0 0.0 0.0
-62.0 0.0 0.0
-143.0 0.0 0.0
-54.0 0.0 0.0
-273.0 0.0 0.0
-161.0 0.0 0.0
377.0 0.0 0.0
-38.0 0.0 0.0
-14.0 0.0 0.0
-197.0 0.0 0.0
-91.0 0.0 0.0
-23.0 0.0 0.0
-269.0 0.0 0.0
-173.0 0.0 0.0
-124.0 0.0 0.0
-83.0 0.0 0.0
-303.0 0.0 0.0
-317.0 0.0 0.0
-355.0 0.0 0.0
11.0 0.0 0.0
-43.0 0.0 0.0
32.0 0.0 0.0
9.0 0.0 0.0
-32.0 0.0 0.0
78.0 0.0 0.0
-15.0 0.0 0.0
-44.0 0.0 0.0
-70.0 0.0 0.0
-66.0 0.0 0.0
5.0 0.0 0.0
41.0 0.0 0.0
-15.0 0.0 0.0
-27.0 0.0 0.0
-1.0 0.0 0.0
-63.0 0.0 0.0
-102.0 0.0 0.0
-223.0 0.0 0.0
-215.0 0.0 0.0
-375.0 0.0 0.0
-379.0 0.0 0.0
-71.0 0.0 0.0
-61.0 0.0 0.0
-110.0 0.0 0.0
-27.0 0.0 0.0
-206.0 0.0 0.0
1.0 0.0 0.0
-215.0 0.0 0.0
-102.0 0.0 0.0
-152.0 0.0 0.0
9.0 0.0 0.0
-26.0 0.0 0.0
-26.0 0.0 0.0
-149.0 0.0 0.0
-355.0 0.0 0.0
-151.0 0.0 0.0
-66.0 0.0 0.0
-208.0 0.0 0.0
-1.0 0.0 0.0
-73.0 0.0 0.0
-45.0 0.0 0.0
-81.0 0.0 0.0
-136.0 0.0 0.0
-125.0 0.0 0.0
-53.0 0.0 0.0
-30.0 0.0 0.0
-111.0 0.0 0.0
-48.0 0.0 0.0
-237.0 0.0 0.0
-344.0 0.0 0.0
8.0 0.0 0.0
-231.0 0.0 0.0
-9.0 0.0 0.0
40.0 0.0 0.0
-387.0 0.0 0.0
-23.0 0.0 0.0
