4

v02 a00 a01 v00
-33.0 0.27343156615524833 0.034578644805279 0.0
-252.0 0.27343156615524833 0.03601942167216563 0.0
-169.0 0.27343156615524833 0.034578644805279 0.0
-297.0 0.27343156615524833 0.031697091071505756 0.0
-191.0 0.26836801863385484 0.028815537337732504 0.0
-248.0 0.28355866119803536 0.03890097540593888 0.0
-185.0 0.20254190085573953 0.0172893224026395 0.0
-561.0 0.21773254341992 0.018730099269526127 0.0
-67.0 0.14177933059901768 0.021611653003299376 0.0
-400.0 0.27849511367664187 0.04034175227282551 0.0
-346.0 0.26836801863385484 0.03313786793839238 0.0
-413.0 0.26836801863385484 0.03313786793839238 0.0
-380.0 0.26330447111246136 0.03025631420461913 0.0
-307.0 0.26330447111246136 0.03025631420461913 0.0
-313.0 0.24305028102688742 0.02593398360395925 0.0
-541.0 0.22785963846270696 0.023052429870186002 0.0
-232.0 0.2481138285482809 0.02593398360395925 0.0
-220.0 0.15696997316319813 0.021611653003299376 0.0
-389.0 0.28355866119803536 0.03890097540593888 0.0
-415.0 0.26836801863385484 0.03313786793839238 0.0
-383.0 0.2531773760696744 0.027374760470845878 0.0
-372.0 0.24305028102688742 0.02593398360395925 0.0
-263.0 0.23798673350549393 0.02449320673707263 0.0
-536.0 0.22785963846270696 0.023052429870186002 0.0
-399.0 0.27849511367664187 0.037460198539052254 0.0
-297.0 0.26330447111246136 0.03025631420461913 0.0
-489.0 0.2531773760696744 0.027374760470845878 0.0
-453.0 0.22785963846270696 0.023052429870186002 0.0
-489.0 0.20760544837713302 0.020170876136412753 0.0
-1.0 0.18735125829155905 0.020170876136412753 0.0
-255.0 0.19241480581295253 0.0172893224026395 0.0
-313.0 0.24305028102688742 0.02593398360395925 0.0
-414.0 0.20760544837713302 0.020170876136412753 0.0
-363.0 0.2126689958985265 0.02449320673707263 0.0
-312.0 0.21773254341992 0.023052429870186002 0.0
-99.0 0.22279609094131347 0.027374760470845878 0.0
-323.0 0.18735125829155905 0.027374760470845878 0.0
-413.0 0.21773254341992 0.031697091071505756 0.0
29.0 0.18735125829155905 0.02449320673707263 0.0
-610.0 0.18735125829155905 0.027374760470845878 0.0
-499.0 0.18735125829155905 0.027374760470845878 0.0
-380.0 0.20760544837713302 0.03025631420461913 0.0
