3

v02 a00 v00
-825.0 4.989292894701601 0.0
-122.0 5.69484388740993 0.0
-155.0 6.228873604274552 0.0
-225.0 6.504099763898587 0.0
-463.0 6.946150606266669 0.0
-905.0 7.7486695951077404 0.0
-385.0 9.004539210922895 0.0
-723.0 9.879383966297938 0.0
-236.0 8.90962191209679 0.0
-585.0 10.72749249633778 0.0
-786.0 10.296246951877448 0.0
-631.0 11.147950221503827 0.0
-424.0 9.906064853598998 0.0
-437.0 10.546108816603578 0.0
-400.0 10.452119667250965 0.0
-617.0 11.206450258710277 0.0
-764.0 10.963022244777056 0.0
-768.0 10.929854022431316 0.0
-133.0 10.96971758873994 0.0
-798.0 12.767638982732263 0.0
-770.0 11.883891911133182 0.0
-555.0 10.67268666810212 0.0
-560.0 10.514294855655665 0.0
-124.0 11.383283766498726 0.0
-577.0 10.946481528212567 0.0
-221.0 10.714099198340012 0.0
-4.0 11.278505198324096 0.0
-458.0 12.812308986661211 0.0
-191.0 10.928120779224214 0.0
-113.0 12.234776831418475 0.0
-703.0 3.3318394567695635 0.0
-729.0 3.426587126208278 0.0
-938.0 3.4544057151766596 0.0
-815.0 3.4562107009179726 0.0
-875.0 3.5261032973058444 0.0
-344.0 3.4552735753650428 0.0
-550.0 3.6491821276553984 0.0
-699.0 3.777626246124806 0.0
-209.0 4.025977699688296 0.0
-634.0 4.565014735321881 0.0
-700.0 4.715776872842968 0.0
-950.0 4.9243448642146594 0.0
-773.0 5.300573300978006 0.0
-889.0 5.771901555348106 0.0
-858.0 6.159999057166352 0.0
-814.0 6.599644838413868 0.0
-658.0 6.60224533499849 0.0
-376.0 7.824505792687735 0.0
-550.0 9.485700232304332 0.0
-351.0 8.77616538190184 0.0
-644.0 9.414345904744458 0.0
-206.0 9.65724972710354 0.0
-609.0 9.948391823593395 0.0
-752.0 10.204338189131958 0.0
-516.0 12.630522750118736 0.0
-822.0 11.010195595809222 0.0
-355.0 10.960356456865965 0.0
-807.0 10.91720353566131 0.0
-355.0 10.925650315083468 0.0
-592.0 11.249213208656217 0.0
-708.0 11.688077284608344 0.0
-203.0 10.981736206561717 0.0
-466.0 11.973477234553954 0.0
-798.0 12.526325750391964 0.0
-427.0 11.454251547758686 0.0
-597.0 13.006059348985023 0.0
-328.0 11.93326445749634 0.0
-434.0 11.6220275024675 0.0
-619.0 11.669371471050836 0.0
-523.0 12.35747162602241 0.0
-297.0 14.70321736041171 0.0
-647.0 12.197302917240103 0.0
-403.0 12.176284229667507 0.0
-237.0 11.85564659805808 0.0
-878.0 3.6118552817427756 0.0
-717.0 3.4393374508634387 0.0
-394.0 3.764745162954284 0.0
-429.0 3.7237752761845577 0.0
-917.0 3.819807918803071 0.0
-686.0 4.359888197314139 0.0
-248.0 5.810022401809543 0.0
-165.0 5.624889269610905 0.0
-886.0 5.46255659082405 0.0
-168.0 6.617548879389498 0.0
-360.0 7.700954176438909 0.0
-819.0 7.97308490915442 0.0
-346.0 7.59440565507756 0.0
-705.0 9.014916337331035 0.0
-570.0 9.915432872403724 0.0
-501.0 10.008064045681971 0.0
-264.0 10.088735752613712 0.0
-851.0 11.410280802784792 0.0
-763.0 11.192313912731152 0.0
-535.0 11.731127256184074 0.0
-315.0 12.01279018249525 0.0
-758.0 12.451967688788345 0.0
-490.0 13.148096170286676 0.0
-475.0 12.107377488121942 0.0
-672.0 12.444440883423933 0.0
-510.0 12.027475419823052 0.0
-563.0 12.773970497487708 0.0
-541.0 14.086907522812119 0.0
-473.0 12.271894422393073 0.0
-735.0 13.538619358810417 0.0
-550.0 12.50656728794425 0.0
-564.0 12.800569916775565 0.0
-781.0 12.862157216909313 0.0
-622.0 13.16040986613345 0.0
-657.0 13.09157080192267 0.0
-402.0 13.101036515198002 0.0
-447.0 14.22170583943465 0.0
-220.0 12.667539217151212 0.0
-701.0 12.68007118939047 0.0
-235.0 12.205688343022064 0.0
-182.0 14.45040680642395 0.0
-112.0 14.293957522736202 0.0
-137.0 13.417145302122927 0.0
-755.0 3.570699079524808 0.0
-931.0 3.8062535521477665 0.0
-504.0 3.9885422205908867 0.0
-969.0 3.957217253903332 0.0
-750.0 3.967772066413763 0.0
-748.0 4.279060131564624 0.0
-238.0 5.10982644962457 0.0
